scheme,model,subset,n,r,r2,rmse,mae,mb,nmb,slope,mean_obs
site,catboost,ghana_north(>8N),278,0.9223718718020936,0.7603030574477063,4.064237172713379,3.1058731575498526,2.005692675400717,0.0693581025980432,1.016003122445378,28.917928839900267
site,catboost,ghana_south(<=8N),18117,0.8983390566845624,0.8047957195616321,3.245235471493216,1.983120407796036,-0.2663571227932092,-0.014711988950914,0.8339982726663279,18.1047663699245
site,catboost,harmattan(DJF),7078,0.8570173974818667,0.7307280896208634,7.434610610001039,3.9921132744768575,-0.5626922001264698,-0.019055247386546,0.7747519006232857,29.529514296610884
site,catboost,non_harmattan,26019,0.8404614454673571,0.7035577992027353,4.099709750087444,2.5707501060772624,-0.3916175388468982,-0.0218118136835206,0.7152977771269834,17.954377592303313
site,extratrees,all,33097,0.877187061073012,0.7672457490573641,5.082804405209088,2.8537091317423235,-0.4774705955947655,-0.0233712891727001,0.7804646454170441,20.42979281401794
site,extratrees,ghana,18395,0.901756939695168,0.8094513084713076,3.2642122802016877,1.9629012998134665,-0.1959370909863644,-0.010725592414207,0.8627843677352652,18.268183557565344
site,extratrees,ghana_reference,155,0.8689638772458902,0.7293958115705494,5.665868278743472,3.922939030655944,-1.4862577062174294,-0.0691610922857147,0.6819710291137858,21.4897951593575
site,extratrees,reference_all,791,0.7206062991517036,0.5042288873045435,18.363238451330385,11.477765240651156,0.536729251025976,0.0171717325477491,0.6064072625589821,31.256557807053
site,extratrees,ghana_north(>8N),278,0.917842662608803,0.3373460954352388,6.75757970948447,5.215160057541689,4.737848202991319,0.1638377433329232,1.231141638597705,28.917928839900267
site,extratrees,ghana_south(<=8N),18117,0.9024404139076646,0.8124634749794626,3.180859438941968,1.9129963522698088,-0.2716445652771297,-0.015004035938756,0.8358968724625614,18.1047663699245
site,extratrees,harmattan(DJF),7078,0.8456540554254008,0.7112999890844682,7.698145256436604,4.007178123268566,-0.745072750096233,-0.0252314597054427,0.7435123471489826,29.529514296610884
site,extratrees,non_harmattan,26019,0.8413340510526867,0.7047184632949823,4.091676054705864,2.5399286819931888,-0.4046742525546261,-0.0225390298535384,0.7207734035309803,17.954377592303313
site,stack,all,33097,0.8833898336470353,0.7725344954406371,5.024725707289331,2.9571589303890526,0.7048545665120585,0.034501307621114,0.8316378488307927,20.42979281401794
site,stack,ghana,18395,0.9048332512663896,0.7969224115329265,3.3698177041599826,2.182905735649024,0.8382230406907925,0.0458843123646883,0.9056796699899664,18.268183557565344
